Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION,Quantity
244190,2026-09-23,MAURICIO MIGUEL NIEBLAS GOMEZ,HOTEL NG,Transporte LOCAL,"ZAPOPAN, JAL.","AV CENTRAL 500 TORRE 400 DPTO 806, PUERTA DEL VALLE, 45136, ZAPOPAN, JAL",1
244192,2026-09-23,TURISTICA LATINA,HOTEL ALAMEDA CENTRO HISTORICO,Cobro Destino,"MORELIA, MCH.","AV FRANCISCO I MADERO PONIENTE #313, CENTRO, 58000, MORELIA, MCH",15
244193,2026-09-23,CH LEON,COURTYARD BY MARRIOTT LEON AT THE POLIFORUM  A0101010,Cobro Regreso,"LEON, GTO.","BLVD FRANCISCO VILLA 102, ORIENTAL, 37510, LEON, GTO",2
244195,2026-09-23,FIDEICOMISO IRREVOCABLE DB/1616,"HAMPTON SALTILLO, MEXICO (SLWHA)",Cobro Regreso,"SALTILLO, COA.","Zona Aeropuerto SALTILLO-JARDINES COLONIALES, Carretera Saltillo-Monterrey 6580, 25270, SALTILLO, COA",4
244197,2026-09-23,FORSA EXPRESS,HOLIDAY INN EXPRESS MORELIA (MLMRA) A0200840,Cobro Regreso,"MORELIA, MCH.","PERIFERICO PASEO DE LA REPUBLICA No.5000, EJIDAL OCOLUSEN, 58295, MORELIA, MCH",2
244198,2026-09-23,IMPULSORA PLAZA TIJUANA,CITY EXPRESS NOGALES (CENOG),Cobro Regreso,"NOGALES, SON.","PROLONGACION AVENIDA ALVARO OBREGON NUMERO 4200, NUEVO NOGALES, 84092, NOGALES, SON",1
244200,2026-09-23,IMPULSORA PLAZA VILLA HERMOSA,CITY EXPRESS PLUS TIJUANA TOREO (CPTIJ),Cobro Regreso,"TIJUANA, BC.","BLVD. AGUA CALIENTE #9985, CALETTE DE LA DELEFACION ZONA CENTRO, 22024, TIJUANA, BC",2
244203,2026-09-23,CLAUDIA SIMBECK ORTEGA,CLAUDIA SIMBECK ORTEGA,Cobro Destino,"CIUDAD DE MEXICO, CMX.","AV HOMERO 223, POLANCO, 11560, CIUDAD DE MEXICO, CMX",1
244204,2026-09-23,INMO F,ALOFT GUADALAJARA SUR (GDLPU 5528),Transporte LOCAL,"TLAJOMULCO DE ZUÑIGA, JAL.","AV. PUNTO SUR 235, LOS GAVILANES, 45645, TLAJOMULCO DE ZUÑIGA, JAL",1
244205,2026-09-23,SERVICIOS TURISTICOS Y HOTELEROS VILLAHERMOSA,HOLIDAY INN EXPRESS VILLAHERMOSA TABASCO 2000 (VSASA),Cobro Regreso,"VILLAHERMOSA, TAB.","PERIFERICO CARLOS PELLICER CAMARA 4000, LA CHOCA, 86037, VILLAHERMOSA, TAB",1
244206,2026-09-23,INMOBILIARIA PENINSULAR DG,"HAMPTON MERIDA, YUCATAN, MEXICO (MIDHX)",Cobro Regreso,"MERIDA, YUC.","CALLE 20 A POR 3 C Y 5 A NUMERO 288, XCUMPICH, 97204, MERIDA, YUC",3
244207,2026-09-23,AHC PROFESSIONALS,"HILTON GRAND VACATIONS CABO AZUL, MX (SJDCA)",Cobro Regreso,"SAN JOSE DEL CABO, BCS.","CALLE PASEO MALECON LOTE 11, FONATUR LOS CABOS, 23400, SAN JOSE DEL CABO, BCS",2
244210,2026-09-23,UTTSA INN,WYNDHAM CD GUZMAN,Cobro Destino,"CD GUZMAN, JAL.","AV. JOSE MARIA GONZALEZ #552, ZAPOTLATENA Y FRACC CONDE PERIFERIA, 49000, CD GUZMAN, JAL",1
244211,2026-09-23,FIDEICOMISO IRREVOCABLE DB/1616,"HAMPTON SALTILLO, MEXICO (SLWHA)",Cobro Regreso,"SALTILLO, COA.","Zona Aeropuerto SALTILLO-JARDINES COLONIALES, Carretera Saltillo-Monterrey 6580, 25270, SALTILLO, COA",5
244212,2026-09-23,MA. GRACIELA GUTIERREZ VAZQUEZ,HOTEL VICTORIA,Cobro Destino,"CD. CONSTITUCION, BCS.","BLVD AGUSTIN OLACHEA AVILES 449, CENTRO, 23600, CD. CONSTITUCION, BCS",2
244213,2026-09-23,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,Cobro Destino,"GUADALAJARA, JAL.","PRIVADA DEL GALLO 1525, LA AURORA, 44460, GUADALAJARA, JAL",1
