Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION
243776,2026-09-14,HOTEL DE LOS PEREZ,HOTEL PIEDRA ALTA,Tres Guerras C.Destino,"SAN ANDRES TUXTLA, VER.","RASCON  2, CENTRO, 95700, SAN ANDRES TUXTLA, VER"
243777,2026-09-14,GRUPO AGC INTERNACIONAL,GRUPO AGC,Transporte LOCAL,"GUADALAJARA, JAL.","AV. 18 DE MARZO 704 BODEGA ALCE, LA NOGALERA, 44470, GUADALAJARA, JAL"
243778,2026-09-14,FIDEICOMISO F/1596,FIESTA INN PUERTO VALLARTA LA ISLA (FIPVT),Cobro Regreso,"PUERTO VALLARTA, JAL.","FCO MED ASCENCIO 2479, ZONA HOTELERA NORTE, 48333, PUERTO VALLARTA, JAL"
