Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION,Quantity
244214,2026-09-23,DISTRIBUIDORA JOFA,DISTRIBUIDORA JOFA,Cobro Regreso,"TIJUANA, BC.","CALLE VILLASANA #656, 20 DE NOVIEMBRE, 22100, TIJUANA, BC",4
244215,2026-09-23,DISTRIBUIDORA JOFA,DISTRIBUIDORA JOFA,Cobro Regreso,"TIJUANA, BC.","CALLE VILLASANA #656, 20 DE NOVIEMBRE, 22100, TIJUANA, BC",10
244216,2026-09-23,DISTRIBUIDORA JOFA,DISTRIBUIDORA JOFA,Cobro Regreso,"TIJUANA, BC.","CALLE VILLASANA #656, 20 DE NOVIEMBRE, 22100, TIJUANA, BC",8
244217,2026-09-23,FARMASES,FARMASES,Cobro Regreso,"MONTERREY, NL.","Calle Cabrera #147, Barrio San Carlos, 64102, MONTERREY, NL",20
244218,2026-09-23,COMERCIALIZADORA SANITARIA,COMSAN,Cobro Regreso,"PUERTO PEÑASCO, SON.","CALLE SARIC Y ALTAR S/N LOCAL No. 9, LAS CONCHAS, 83550, PUERTO PEÑASCO, SON",2
244219,2026-09-23,COMERCIALIZADORA SANITARIA,COMSAN,Cobro Regreso,"PUERTO PEÑASCO, SON.","CALLE SARIC Y ALTAR S/N LOCAL No. 9, LAS CONCHAS, 83550, PUERTO PEÑASCO, SON",2
244220,2026-09-23,SERVICIOS E INMUEBLES TURISTICOS,BARCELO GUADALAJARA,Transporte LOCAL,"GUADALAJARA, JAL.","AV.DE LAS ROSAS No.2933, RINCONADA DEL BOSQUE, 44530, GUADALAJARA, JAL",1
244221,2026-09-23,SERVICIOS E INMUEBLES TURISTICOS,BARCELO GUADALAJARA,Transporte LOCAL,"GUADALAJARA, JAL.","AV.DE LAS ROSAS No.2933, RINCONADA DEL BOSQUE, 44530, GUADALAJARA, JAL",15
244222,2026-09-23,TAJIN,HOTEL TAJIN,Cobro Destino,"PAPANTLA, VER.","J. DE J.NUÑEZ Y DOMINGUEZ # 104, CENTRO, 93400, PAPANTLA, VER",5
244223,2026-09-23,POHASA,HOTEL LA VILLA DEL ENSUEÑO,Transporte LOCAL,"GUADALAJARA, JAL.","FLORIDA #305, TLAQUEPAQUE CENTRO, 45500, GUADALAJARA, JAL",2
244224,2026-09-23,ABRIL DE OCCIDENTE,MOTEL LOMA LINDA,Transporte LOCAL,"SAN PEDRO TLAQUEPAQUE, JAL.","AV  COLON 4292, EL SAUZ, 45608, SAN PEDRO TLAQUEPAQUE, JAL",5
244225,2026-09-23,GRUPO HOTELERO NAYAR PALACE,MOTEL NUIT,Transporte LOCAL,"TLAJOMULCO DE ZUÑIGA, JAL.","CARR A MORELIA KM 14 1400, RINCONADA SANTA ANITA, 45645, TLAJOMULCO DE ZUÑIGA, JAL",5
244226,2026-09-23,ALVAPOR,MONTE REAL AUTO HOTEL,Transporte LOCAL,"ZAPOPAN, JAL.","CARRETERA A TESISTAN # 1944, FRACC. EL TIGRE, 45130, ZAPOPAN, JAL",15
244227,2026-09-23,INMOBILIARIA 2242,JW MARRIOTT GUDALAJARA (GDLJW),Transporte LOCAL,"GUADALAJARA, JAL.","AVENIDA AMERICAS 1905 INT 12, ALDRETE, 44660, GUADALAJARA, JAL",5
244228,2026-09-23,INMOBILIARIA 2242,JW MARRIOTT GUDALAJARA (GDLJW),Transporte LOCAL,"GUADALAJARA, JAL.","AVENIDA AMERICAS 1905 INT 12, ALDRETE, 44660, GUADALAJARA, JAL",5
244229,2026-09-23,EQUILIMP,EQUILIMP QUERETARO,Cobro Destino,"QUERETARO, QUE.","AV PEÑUELAS 5 INT:3, SAN PEDRITO PEÑUELAS, 76148, QUERETARO, QUE",3
244230,2026-09-23,FIDEICOMISO IRREVOCABLE DB/1616,MICROTEL TOLUCA(TLUMI),Cobro Regreso,"TOLUCA, MEX.","BLVD. AEROPUERTO MIGUEL ALEMAN 125, REFORMA, 50200, TOLUCA, MEX",2
244231,2026-09-23,IMPULSORA PLAZA TAMAULIPAS,CITY EXPRESS TAMPICO (CETAM),Cobro Regreso,"TAMPICO, TAM.","AV. HIDALGO #5820, LOMAS DEL CHAIREL, 89360, TAMPICO, TAM",2
244233,2026-09-23,NUS ADMINISTRADORA DE INMUEBLES,WYNDHAM GARDEN MAZATLAN (MZTWM),Cobro Regreso,"MAZATLAN, SIN.","BLVD. LA MARINA 2207 INT A, MARINA, 82103, MAZATLAN, SIN",3
244234,2026-09-23,OPERADORA BAHIA DE LORETO,VILLAS DEL PALMAR LORETO,Cobro Regreso,"LORETO, BCS.","LOTE 12, MANZANA 25 DEL PREDIO DENOMINADO, ENSENADA BLANCA, 23895, LORETO, BCS",6
