Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION,Quantity
244251,2026-09-24,AUDELIA PEREZ LEON,PRODUCTOS DE LIMPIEZA DEL VALLE,Cobro Regreso,"OAXACA DE JUAREZ, OAX.","MELCHOR OCAMPO # 717, CENTRO, 68000, OAXACA DE JUAREZ, OAX",30.0
244252,2026-09-24,SERVICIOS ESPECIALIZADOS PLAYA BLANCA,HOTEL WYNDHAM GRAND CANCUN ONLY INCLUSIVE RESORTS  &VILLAS,CEDIS Cancún,"CANCUN, QR.","BLVD KUKULCAN KM 16.5 MANZANA 53 LOTE 48 2DA SECCION, ZONA HOTELERA, 77500, CANCUN, QR",1.0
244253,2026-09-24,SINERGIA INMOBILIARIA DE MEXICO,CITY EXPRESS MONTERREY NORTE (CEMTN),Cobro Regreso,"APODACA, NL.","CARRETERA A NUEVO LAREDO 21521-A, NO ESPECIFICADA, 66600, APODACA, NL",3.0
244254,2026-09-24,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,Cobro Destino,"GUADALAJARA, JAL.","PRIVADA DEL GALLO 1525, LA AURORA, 44460, GUADALAJARA, JAL",1.0
244255,2026-09-24,FIDEICOMISO IRREVOCABLE DB/1616,CASA GRANDE DELICIAS(CUUDE),CEDIS Cancún,"CIUDAD DELICIAS, CHI.","AV 6 ORIENTE 601, CENTRO, 33000, CIUDAD DELICIAS, CHI",176.0
244256,2026-09-24,GIP HOTELERA,"HAMPTON PUEBLA, MEXICO (PBCHX)",Cobro Regreso,"SAN ANDRES CHOLULA, PUE.","PRIVADA  SEGUNDO RETORNO OSA MENOR 4, RESERVA TERRITORIAL ATLIXCAYOTL, 72810, SAN ANDRES CHOLULA, PUE",4.0
244257,2026-09-24,HOTELES DEL PUERTO DE TAMPICO,"HAMPTON TAMPICO – ZONA DORADA, MEXICO (TAMZD)",Cobro Regreso,"TAMPICO, TAM.","AVE HIDALGO 2700 PISO 2, AGUILA, 89230, TAMPICO, TAM",2.0
244258,2026-09-24,HOTELERA PLAZA DALI,HOLIDAY INN MEXICO DALI AEROPUERTO A0207811 (MEXPD),Cobro Regreso,"MEXICO, CMX.","VIADUCTO RIO DE LA PIEDAD 260, MAGDALENA MIXHUCA, 15860, MEXICO, CMX",1.0
244259,2026-09-24,OXXIMX,ALDEA THAI PUEBLITO ESCONDIDO,CEDIS Cancún,"PLAYA DEL CARMEN, QR.","AVENIDA 34 #305 MZ 5 LT 1, CENTRO, 77710, PLAYA DEL CARMEN, QR",1.0
244260,2026-09-24,JESUS HECTOR RAFAEL ZUARES ROBLES,AUTO HOTEL EL CID,Cobro Destino,"AGUA PRIETA, SON.","CALLE 35 AVE #11-12 No.1111, PUEBLO NUEVO, 84270, AGUA PRIETA, SON",5.0
244261,2026-09-24,FIDEICOMISO IRREVOCABLE DB/1616,CROWNE PLAZA MONTERREY AEROPUERTO(MTYCP),Cobro Regreso,"MONTERREY, NL.","BLVD.AEROPUERTO 171, PARQUE INDUSTRIAL NEXXUS, 66600, MONTERREY, NL",12.0
244262,2026-09-24,DECAMERON,DECAMERON LOS COCOS,Cobro Regreso,"RINCON DE GUAYABITOS, NAY.","RETORNO LAS PALMAS S/N, SOL NUEVO, 63727, RINCON DE GUAYABITOS, NAY",10.0
244263,2026-09-24,CORPORATIVO EMPRESARIAL LTO,TRYP SLP,Cobro Destino,"SAN LUIS POTOSI, SLP.","AV. BENITO JUAREZ 3105, TLAXCALA, 78394, SAN LUIS POTOSI, SLP",2.0
