Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION
244029,2026-09-18,SERVICIOS ESPECIALES TURISTICOS,CROWNE PLAZA TLALNEPANTLA (MEXLM),Cobro Regreso,"TLALNEPANTLA, MEX.","ROBERTO FULTON 2-A, SAN LORENZO, 54030, TLALNEPANTLA, MEX"
244031,2026-09-18,HB CORDOBA,HOTEL HB,Cobro Destino,"CORDOBA, VER.","CALLE 8 #1315 Y AV.11, BELLAVISTA, 94580, CORDOBA, VER"
244032,2026-09-18,IMPULSORA PLAZA HIDALGO,CITY EXPRESS TIJUANA FLORIDO (CETIF),Cobro Regreso,"TIJUANA, BC.","CARRETERA LIBRE TIJUANA-MEXICALI N/N A UN LADO DE PLAZA SENDERO, EL FLORIDO, 22247, TIJUANA, BC"
244034,2026-09-18,CONTROLADORA HOTELERA POH,FIESTA INN PACHUCA GRAN PATIO (FIPA3),Cobro Regreso,"PACHUCA DE SOTO, HID.","BLVD LUIS DONALDO COLOSIO 2009, EX HDA COSCOTITLAN, 42064, PACHUCA DE SOTO, HID"
244035,2026-09-18,HOSPRO,"HAMPTON LEON, GUANAJUATO, MEXICO (BJXLG)",Cobro Regreso,"LEON, GTO.","BLVD ADOLFO LOPEZ MATEOS 1717, LOS GAVILANES, 37266, LEON, GTO"
244036,2026-09-18,CONSTRUCTORA NOMIR,COMFORT INN LOS CABOS (143191),Cobro Regreso,"LOS CABOS, BCS.","CARRETERA TRANSPENINSULAR KM 4.1, EL TEZAL, 23454, LOS CABOS, BCS"
244038,2026-09-18,SOFIA EXPRESS,HOTEL MISION EXPRESS PACHUCA,Cobro Destino,"PACHUCA DE SOTO, HID.","ABASOLO 242, CENTRO, 42000, PACHUCA DE SOTO, HID"
244039,2026-09-18,RITZ ACAPULCO,HOTEL RITZ ACAPULCO,Cobro Destino,"ACAPULCO, GRO.","AV. COSTERA MIGUEL ALEMAN #159, MAGALLANES, 39670, ACAPULCO, GRO"
244040,2026-09-18,OPERADORA HOTELERA DE ANAHUAC,HOLIDAY INN MONTERREY NORTE (MTYMX),Cobro Regreso,"SAN NICOLAS DE LOS GARZA, NL.","AV.UNIVERSIDAD NTE. 101, ANAHUAC, 66450, SAN NICOLAS DE LOS GARZA, NL"
244041,2026-09-18,ADMINISTRADORA GAREV,WYNDHAM GARDEN SALTILLO,Cobro Regreso,"SALTILLO, COA.","BLVD VENUSTIANO CARRANZA 5685, PASEO DE LAS PALMAS, 25210, SALTILLO, COA"
