Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION,Quantity
244265,2026-09-24,HOTELES PUERTO BELLO,HOWARD JOHNSON VERACRUZ BY WYNDHAM,Cobro Regreso,"VERACRUZ, VER.","BLVD.AVILA CAMACHO#1263 ESQ.ITURBIDE, RICARDO FLORES, 91936, VERACRUZ, VER",4.0
244267,2026-09-24,INMOBILIARIA HNF,HOLIDAY INN AUTONOMA GUADALAJARA (GDLHA),Cobro Destino,"ZAPOPAN, JAL.","AV  PATRIA 999, JARDINES UNIVERSIDAD, 45110, ZAPOPAN, JAL",3.0
244268,2026-09-24,OPERADORA DE HOTELES GUANAJUATO,HOLIDAY INN EXPRESS GUANAJUATO MILLENIUM (BJXGC),Cobro Regreso,"GUANAJUATO, GTO.","BOULEVARD EUQUERIO GUERRERO 120, BUROCRATAS, 36250, GUANAJUATO, GTO",1.0
244270,2026-09-24,SERVICIOS DE HOSPEDAJE TINAJERO,HOTEL EXPO PLAZA BUSINESS AND FAMILY,Transporte LOCAL,"ZAPOPAN, JAL.","ADOLFO LOPEZ MATEOS SUR 2400, CUIDAD DEL SOL, 45050, ZAPOPAN, JAL",2.0
244271,2026-09-24,GRUPO HOTELERO LUNA AZUL,VOCO GUADALAJARA NERUDA (GDLVO),Transporte LOCAL,"GUADALAJARA, JAL.","PABLO NERUDA 2828, PROVIDENCIA, 44639, GUADALAJARA, JAL",2.0
244273,2026-09-24,INVERHOTELES,HOLIDAY INN EXPRESS GUADALAJARA ITESO (GDLIT),Transporte LOCAL,"ZAPOPAN, JAL.","AV.CAMINO AL ITESO 8650-A10 E/SIERRA MAZAMITLA, EL MANTE, 45601, ZAPOPAN, JAL",2.0
244274,2026-09-24,INSUMOS DE LIMPIEZA E HIGIENE,INSUMOS DE LIMPIEZA E HIGIENE,Cobro Regreso,"TUXTLA GUTIERREZ, CHS.","CIRCUITO BOSQUES DE LA TRINIDAD 220, PLAN DE AYALA, 29020, TUXTLA GUTIERREZ, CHS",5.0
244276,2026-09-24,LOS LAGOS DE MONTEBELLO,HOTEL LOS LAGOS DE MONTEBELLO,Cobro Destino,"COMITAN DE DOMINGUEZ, CHS.","BLVD DR BELISARIO DOMINGUEZ NORTE 14, GUADALUPE, 30020, COMITAN DE DOMINGUEZ, CHS",3.0
244277,2026-09-24,HOTEL POSADA VIRREYES,HOTEL POSADA VIRREYES,Transporte LOCAL,"TLAQUEPAQUE, JAL.","AV.LAZARO CARDENAS #340 INT A, ALAMO ORIENTE, 45560, TLAQUEPAQUE, JAL",1.0
244278,2026-09-24,OPERADORA HANNAHMAY,HOLIDAY INN CUERNAVACA (CVJMX),Cobro Regreso,"CUERNAVACA, MOR.","CALLE GALEANA 42, ACAPANTZINGO, 62440, CUERNAVACA, MOR",1.0
244279,2026-09-24,DALCE DEL CENTRO,DALCE DEL CENTRO,AutoSAC C.Destino,"SAN LUIS POTOSI, SLP.","AV. DE LAS TORRES # 106, LOMAS DE SAN JUAN DE GPE., 78384, SAN LUIS POTOSI, SLP",3.0
244280,2026-09-24,IMPULSORA PLAZA TIJUANA OTAY,CITY EXPRESS ENSENADA (CEESE),Cobro Regreso,"ENSENADA, BC.","PROL. BLVD. COSTERO # 2849 LOTE B-1 A-2 M-29, CARLOS PACHECO, 22890, ENSENADA, BC",2.0
