Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION,Quantity
244085,2026-09-21,IMPULSORA PLAZA HERMOSILLO,CITY EXPRESS HERMOSILLO (CEHMO),Cobro Regreso,"HERMOSILLO, SON.","BLVD. RIO SONORA NORTE No. 96, VADO DEL RÍO, 83078, HERMOSILLO, SON",3
244086,2026-09-21,HOSPITAL SANTA MARIA CHAPALITA,HOSPITAL SANTA MARIA CHAPALITA,Transporte LOCAL,"ZAPOPAN, JAL.","AV. NIÑO OBRERO 1666, CHAPALITA, 45040, ZAPOPAN, JAL",4
244087,2026-09-21,FIDEICOMISO IRREVOCABLE DB/1616,"HAMPTON REYNOSA/ZONA INDUSTRIAL, MEXICO (REXHA)",Cobro Regreso,"REYNOSA, TAM.","PLAZA PERIFERICO, CARR. LIBRE A MONTERREY-REYNOSA 1000, , 88730, REYNOSA, TAM",1
244091,2026-09-21,COMERCIALIZADORA SANITARIA,COMSAN,Cobro Regreso,"HERMOSILLO, SON.","AV. LUIS DONALDO COLOSIO #126, CENTRO, 83000, HERMOSILLO, SON",16
244093,2026-09-21,JEA INMOBILIARIA,HOLIDAY INN & SUITES MERIDA LA ISLA (MIDNT),Cobro Regreso,"MERIDA, YUC.","CALLE 24 31044, TEMOZON NORTE, 97305, MERIDA, YUC",4
244094,2026-09-21,OPERADORA DECORI BINNIGUENDA,HOTEL BINNIGUENDA HUATULCO,Cobro Regreso,"BAHIA DE SANTA CRUZ, OAX.","BLVD SANTA CRUZ 201, SECTOR A, 70989, BAHIA DE SANTA CRUZ, OAX",4
244095,2026-09-21,IMPULSORA PLAZA CANANEA,CITY EXPRESS CANANEA (CECNA),Cobro Regreso,"CANANEA, SON.","CARRETERA CANANEA AGUA PRIETA #2, CANANEA CENTRO, 84620, CANANEA, SON",3
244096,2026-09-21,KIVA INVERSIONES,AVID GUADALAJARA AEROPUERTO,Cobro Regreso,"TLAQUEPAQUE, JAL.","CARR. A CHAPALA #4070, LAS PINTAS DE ABAJO, 45593, TLAQUEPAQUE, JAL",1
244097,2026-09-21,HOSPITAL DE TRAUMATOLOGIA Y ESPECIALIDADES MEDICAS POLANCO,HOSPITAL DE ESPECIALIDADES MEDICAS POLANCO,Cobro Destino,"IXTAPALUCA, MEX.","CARRETERA FEDERAL MEXICO CUAUTLA 1 LT.16 900, LAS PALMAS TERCERA ETAPA, 56535, IXTAPALUCA, MEX",5
244098,2026-09-21,OPERADORA Y COMERCIALIZADORA DE HOTELES GRL,CASA HAUS HOTEL,Cobro Destino,"PUEBLA, PUE.","AV. 3 PTE 524, CENTRO, 72000, PUEBLA, PUE",1
244099,2026-09-21,FIDEICOMISO IRREVOCABLE DB/1616,COURTYARD CHIHUAHUA(CUUCY) A0096789,Cobro Regreso,"CHIHUAHUA, CHI.","VIA LOMBARDIA 5702, DESARROLLO SAUCITO, 31110, CHIHUAHUA, CHI",2
244100,2026-09-21,CABAÑAS LUPITA,CABAÑAS LUPITA,Cobro Destino,"MAZAMITLA, JAL.","PROLONGACION GALENA 210, FRACCIONAMINETO LOMAS VERDES, 49500, MAZAMITLA, JAL",5
244101,2026-09-21,OPERADORA DE HOTELES TECNOLOGICO,HOLIDAY INN EXPRESS TECNOLOGICO MONTERREY (MILENIUM) (MTYEG),Cobro Regreso,"MONTERREY, NL.","AV EUGENIO GARZA SADA 3680, VILLA LOS PINOS, 64770, MONTERREY, NL",3
244102,2026-09-21,OPERADORA DE HOTELES GALERIAS,HOLIDAY INN EXPRESS SAN JERONIMO(MILENIUM) (MTYSJ),Cobro Regreso,"MONTERREY, NL.","AV. SAN JERONIMO 1082, SAN JERONIMO, 64640, MONTERREY, NL",2
244103,2026-09-21,HOTEL HACIENDA DEL ROBLE,HOTEL HACIENDA DEL ROBLE,One Paqueteria C.Destino,"AGUASCALIENTES, AGS.","CALLE 5 DE MAYO #540, ZONA CENTRO, 20000, AGUASCALIENTES, AGS",6
244104,2026-09-21,CORPORATIVO DE SERVICIOS TURISTICOS XOCHITEPEC,FIESTA AMERICANA CUERNAVACA  (FAHP),Guadalajara Mérida C.Regreso,"XOCHITEPEC, MOR.","REFORMA  # 2 FRACC. REAL DEL PUENTE, FRACC. REAL DEL PUENTE, 62790, XOCHITEPEC, MOR",4
244105,2026-09-21,FIDEICOMISO F/1596,FIESTA AMERICANA HERMOSILLO (FAHE),Cobro Regreso,"HERMOSILLO, SON.","BOULEVARD FRANCISCO EUSEBIO KINO  369, LOMAS PITIC, 83010, HERMOSILLO, SON",2
244106,2026-09-21,HOTELERA BAJO LERMA,HOLIDAY INN LA PIEDAD (LPDEX),Cobro Destino,"LA PIEDAD, MCH.","KM.2.5 CARRETERA LA PIEDAD, MARGARITAS, 59300, LA PIEDAD, MCH",4
244107,2026-09-21,ISLA BONITA INMOBILIARIA,COURTYARD MARRIOTT MERIDA A0165799,Cobro Regreso,"MERIDA, YUC.","CALLE 33 A 504, CENTRO, 97000, MERIDA, YUC",3
244109,2026-09-22,GRUPO AGC INTERNACIONAL,GRUPO AGC,Transporte LOCAL,"GUADALAJARA, JAL.","AV. 18 DE MARZO 704 BODEGA ALCE, LA NOGALERA, 44470, GUADALAJARA, JAL",1120
244112,2026-09-22,LAURA RAMIREZ NAVA,HOTEL IMPERIAL SAN MARTIN TEXMELUCAN,Cobro Destino,"SAN MARTIN TEXMELUCAN, PUE.","MUJICA Y OSORIO No. 3, CENTRO, 74000, SAN MARTIN TEXMELUCAN, PUE",4
