Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION,Quantity
244143,2026-09-22,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,PRESIDENTE INTERCONTINENTAL GUADALAJARA,Transporte LOCAL,"ZAPOPAN, JAL.","AV. MOCTEZUMA 3515 PISO 11, CIUDAD DEL SOL, 45050, ZAPOPAN, JAL",5
244151,2026-09-22,ALMACENES PALACE RESORTS,LE BLANC CABOS,Cobro Regreso,"SAN  JOSE DEL CABO, BCS.","KM 18.4 CARRETERA TRANSPENINSULAR SJC-CSL, LOMAS DEL TULE, 23405, SAN  JOSE DEL CABO, BCS",9
244154,2026-09-22,JESUS HECTOR RAFAEL ZUARES ROBLES,AUTO HOTEL EL CID,Cobro Destino,"AGUA PRIETA, SON.","CALLE 35 AVE #11-12 No.1111, PUEBLO NUEVO, 84270, AGUA PRIETA, SON",20
244155,2026-09-22,IMPULSORA PLAZA JUAREZ,CITY EXPRESS CIUDAD OBREGON (CECEN),Cobro Regreso,"OBREGON, SON.","AV. MIGUEL ALEMÁN #901 NORTE, AMPLIACION DEL SOL, 85010, OBREGON, SON",5
244156,2026-09-22,COMERCIALIZADORA SANITARIA,COMSAN,Cobro Regreso,"PUERTO PEÑASCO, SON.","CALLE SARIC Y ALTAR S/N LOCAL No. 9, LAS CONCHAS, 83550, PUERTO PEÑASCO, SON",10
244157,2026-09-22,IMPULSORA PLAZA LA ESTANCIA,CITY EXPRESS PLUS SAN LUIS POTOSI (CPSLP),Cobro Regreso,"SAN LUIS POTOSI, SLP.","ANDADOR PLAZA LOMAS 52, LOMAS DEL TECNOLOGICO, 78215, SAN LUIS POTOSI, SLP",11
244159,2026-09-22,CONSTRUCTORA NOMIR,COMFORT INN LOS CABOS (143191),Cobro Regreso,"LOS CABOS, BCS.","CARRETERA TRANSPENINSULAR KM 4.1, EL TEZAL, 23454, LOS CABOS, BCS",2
244163,2026-09-22,OPERADORA DE HOTELES FLOSOL,HOLIDAY INN & SUITES PUERTO VALLARTA (PVRIF),Cobro Regreso,"PUERTO VALLARTA, JAL.","BLVD. FRANCISCO MEDINA ASCENCIO 3650, VILLA LAS FLORES, 48335, PUERTO VALLARTA, JAL",16
244165,2026-09-22,OPERADORA BRITS,HOLIDAY INN DURANGO A0210061 (DGOMX),Cobro Destino,"DURANGO, DUR.","BLVD. FRANCISCO VILLA 4315, 20 DE NOVIEMBRE, 34234, DURANGO, DUR",2
244166,2026-09-22,ADMINISTRADORA INOVA RBC,"HAMPTON PIEDRAS NEGRAS, MEXICO (PDSHX)",Cobro Regreso,"PIEDRAS NEGRAS, COA.","PASEO DE LAS ARTES 800, TECNOLOGICO, 26080, PIEDRAS NEGRAS, COA",2
244167,2026-09-22,SALINAS OPERADORA,HOTEL COUNTRY HILL,Tres Guerras C.Destino,"PIEDRAS NEGRAS, COA.","LIBRAMIENTO M.PEREZ TREVIÑO No.2300, TECNOLOGICO, 26080, PIEDRAS NEGRAS, COA",4
244168,2026-09-22,TRASARIZ,MOTEL DON JUAN,Cobro Destino,"GENERAL ESCOBEDO, NL.","CARRETERA A MONCLOVA 501, CENTRO, 66050, GENERAL ESCOBEDO, NL",5
244169,2026-09-22,"""OPERADORA HOTELERA CITY CENTER METEPEC""",HOLIDAY INN EXPRESS TOLUCA GALERIAS METEPEC (TLUME),Cobro Regreso,"METEPEC, MEX.","BOULEVARD TOLUCA-METEPEC 268, LA MICHOACANA, 52166, METEPEC, MEX",2
244170,2026-09-22,SERTURTAM,HAFERSONS INN,Cobro Destino,"MADERO, TAM.","AVENIDA EJERCITO MEXICANO  1435, LOMA DEL GALLO, 89460, MADERO, TAM",4
244171,2026-09-22,PROYECTOS E INVERSIONES TURISTICAS,HOTEL PARAISO EXPRESS,Cobro Destino,"TORREON COAHUILA, COA.","CALLE DIAGONAL REFORMA OTE 3620, CENTRO, 27000, TORREON COAHUILA, COA",3
244172,2026-09-22,JMJG CONSTRUCTORA,MOTEL DORADO,Cobro Destino,"MANZANILLO, COL.","MIGUEL DE LA MADRID HURTADO 1557, OTRA NO ESPECIFICADA EN EL CATALOGO, 28863, MANZANILLO, COL",4
244173,2026-09-22,HOTEL ALAMEDA DE MATAMOROS EXPRESS,HOTEL ALAMEDA EXPRESS,Tres Guerras C.Destino,"MATAMOROS, TAM.","TERAN No. 119, CENTRO, 87300, MATAMOROS, TAM",60
244174,2026-09-22,GRUPO INMOBILIARIO RICSHER,HOLIDAY INN TUXPAN (PAZTU),Cobro Regreso,"TUXPAN, VER.","BOULEVARD LA CALZADA No 33, LA CALZADA, 92773, TUXPAN, VER",2
244176,2026-09-22,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,PRESIDENTE INTERCONTINENTAL MONTERREY,Cobro Regreso,"SAN PEDRO GARZA GARCÍA, NL.","AV. BATALLON DE SAN PATRICIO 410, ZONA SAN AGUSTIN, 66260, SAN PEDRO GARZA GARCÍA, NL",3
244177,2026-09-22,INSUMOS HALCON,COURTYARD MARRIOTT SAN LUIS POTOSI A0152894,One Paqueteria C.Regreso,"SAN LUIS POTOSI, SLP.","AV. BENITO JUAREZ 1230 B (CARRETERA 57), VALLE DORADO, 78399, SAN LUIS POTOSI, SLP",2
244182,2026-09-22,JESUS JOAQUIN RUBIO GARCIA,HOTEL NAVOLA INN,Cobro Destino,"CULIACAN, SIN.","BOULEVARD PERO INFANTE 2222, DESARROLLO URBANO TRES RIOS, 80020, CULIACAN, SIN",1
244183,2026-09-22,OPERADORA DE SERVICIOS TORREON,MOTEL LA MANSION,Cobro Destino,"TORREON, COA.","CERRADA CASCABEL 104, VILLAS LAS PALMAS, 27023, TORREON, COA",8
244185,2026-09-23,FIDEICOMISO IRREVOCABLE DB/1616,AC MARRIOTT GUADALAJARA EXPO (GDLAR),Transporte LOCAL,"ZAPOPAN, JAL.","AV. LOPEZ MATEOS 2375, CIUDAD DEL SOL, 45050, ZAPOPAN, JAL",1
