Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION
244000,2026-09-18,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,HOLIDAY INN EXPRESS & SUITES CELAYA (BJXCE),Cobro Regreso,"CELAYA, GTO.","EJE NOR-ORIENTE AV. LUIS DONALDO COLOSIO 285, LAS DELICIAS, 38080, CELAYA, GTO"
244002,2026-09-18,MIKALLI PROPERTY MANAGEMENT,MIKALLI PROPERTY MANAGEMENT,Cobro Destino,"BAHIA DE BANDERAS, NAY.","AV MEXICO 61 TORRE SIENA DEP 306, NO ESPECIFICADA EN EL CATALOGO, 63735, BAHIA DE BANDERAS, NAY"
244004,2026-09-18,JOSE PABLO GARCIA EVERARDO,JP HOTEL,Cobro Destino,"LAZARO CARDENAS, MCH.","AV. LAS TRUCHAS #136, JOSE GREEN, 60952, LAZARO CARDENAS, MCH"
244005,2026-09-18,GRUPO AGC INTERNACIONAL,GRUPO AGC,Transporte LOCAL,"GUADALAJARA, JAL.","AV. 18 DE MARZO 704 BODEGA ALCE, LA NOGALERA, 44470, GUADALAJARA, JAL"
244006,2026-09-18,GRUPO AGC INTERNACIONAL,GRUPO AGC,Transporte LOCAL,"GUADALAJARA, JAL.","AV. 18 DE MARZO 704 BODEGA ALCE, LA NOGALERA, 44470, GUADALAJARA, JAL"
244007,2026-09-18,GRUPO AGC INTERNACIONAL,GRUPO AGC,Transporte LOCAL,"GUADALAJARA, JAL.","AV. 18 DE MARZO 704 BODEGA ALCE, LA NOGALERA, 44470, GUADALAJARA, JAL"
244008,2026-09-18,OPERADORA RIO GRANDE,QUALITY INN AGUASCALIENTES (143211),Cobro Regreso,"AGUASCALIENTES, AGS.","JOSE MARIA CHAVEZ  #101, CENTRO, 20000, AGUASCALIENTES, AGS"
244009,2026-09-18,IMPULSORA PLAZA SAN CARLOS,CITY EXPRESS GUAYMAS (CEGYM),Cobro Regreso,"GUAYMAS, SON.","BLVD. LUIS ENRIQUE ENCINAS JHONSON S/N, LAS QUINTAS, 85448, GUAYMAS, SON"
244013,2026-09-18,OPERADORA GRILAR,HOTEL ORIZABA INN,Cobro Destino,"ORIZABA, VER.","ORIENTE 2 117 ORIZABA, CENTRO, 94300, ORIZABA, VER"
244015,2026-09-18,COMPAÑIA MEXICANA DE INVERSIONES TURISTICAS,HOTEL LUCERNA ENSENADA,Cobro Regreso,"ENSENADA, BC.","AUTOPISTA TIJUANA-ENSENADA # 2501, ZONA PLAYITAS, 22860, ENSENADA, BC"
244016,2026-09-18,CONSTRUCTORA TURISTICA DE HUANACAXTLE,BANDERAS SUITES & HOTEL,Kora Express C.Destino,"PLAYAS DE HUANACAXTLE, NAY.","RETORNO LAS MINITAS #496, PLAYAS DE HUANACAXTLE, 63732, PLAYAS DE HUANACAXTLE, NAY"
244017,2026-09-18,COMPAÑIA MEXICANA DE INVERSIONES TURISTICAS,HOTEL LUCERNA ENSENADA,Cobro Regreso,"ENSENADA, BC.","AUTOPISTA TIJUANA-ENSENADA # 2501, ZONA PLAYITAS, 22860, ENSENADA, BC"
244018,2026-09-18,OPERADORA HOTELERA AVION,HOTEL LA VID,Cobro Destino,"AGUASCALIENTES, AGS.","JOSE MARIA CHAVEZ #1305, CD.INDUSTRIAL, 20290, AGUASCALIENTES, AGS"
244019,2026-09-18,FIDEICOMISO F/1596,FIESTA INN MONTERREY LA FE (FIMTF),Cobro Destino,"SAN NICOLAS DE LOS GARZA, NL.","CARRETERA MIGUEL ALEMAN No. 105  LA FE, LA FE, 66477, SAN NICOLAS DE LOS GARZA, NL"
244020,2026-09-18,MARMAYA,HOTEL CASA MONARCA,Cobro Destino,"PUEBLA, PUE.","7 SUR #303 ENTRE 3 Y 5 PONIENTE, PUEBLA CENTRO, 72000, PUEBLA, PUE"
244021,2026-09-18,IMPULSORA PLAZA JUAREZ,CITY EXPRESS SAN LUIS POTOSI ZONA INDUSTRIAL (CESLP),Cobro Destino,"SAN LUIS POTOSI, SLP.","CARR. CENTRAL MEXICO-SLP #2150, FRACC. INDUSTRIAS, 78399, SAN LUIS POTOSI, SLP"
244022,2026-09-18,M&C&S PROMOTORES INTERNACIONALES ESPECIALIZADOS HOTELERIA,BEST WESTERN TULA,Cobro Destino,"TULA DE ALLENDE, HID.","ZARAGOZA 11, CENTRO, 42800, TULA DE ALLENDE, HID"
244023,2026-09-18,COMERCIALIZADORA SANITARIA,COMSAN,Cobro Regreso,"MAZATLAN, SIN.","CARRETERA FEDERAL LIBRE MEXICO-NOGALES KM 1194 , BODEGA 10, BM., URIAS, 82099, MAZATLAN, SIN"
244024,2026-09-18,IMPULSORA PLAZA HIDALGO,CITY EXPRESS TIJUANA FLORIDO (CETIF),Cobro Regreso,"TIJUANA, BC.","CARRETERA LIBRE TIJUANA-MEXICALI N/N A UN LADO DE PLAZA SENDERO, EL FLORIDO, 22247, TIJUANA, BC"
