Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION
244072,2026-09-21,ADMINISTRADORA DE HOTELES DE MEXICO IG,HARD ROCK HOTEL GUADALAJARA,Transporte LOCAL,"ZAPOPAN, JAL.","AV VALLARTA 5145, CAMINO REAL, 45040, ZAPOPAN, JAL"
244075,2026-09-21,HOTELERA QUERETANA,HOLIDAY INN EXPRESS & SUITES QUERETARO (MQERG),Cobro Regreso,"QUERETARO, QUE.","AVENIDA 5 DE FEBRERO 110 BIS, NIÑOS HEROES, 76010, QUERETARO, QUE"
244076,2026-09-21,GERARDO MORENO MORALES,HOTEL MORENO,Cobro Destino,"CIUDAD VALLES, SLP.","GUERRERO #5, GREGORIO OSUNA, 79090, CIUDAD VALLES, SLP"
244077,2026-09-21,CUTBERTO IVAN MENDIETA ROJAS,BOSCOSO EVENTS PLACE & CATERING,Cobro Regreso,"VALLE DE BRAVO, MEX.","CARLOS GOMEZ ALMAZAN 3 INT 14, CALVARIO, 51200, VALLE DE BRAVO, MEX"
244078,2026-09-21,PLAZA TRIUNFO,LA QUINTA CD JUAREZ,Cobro Regreso,"CD. JUAREZ, CHI.","AV. EJERCITO NACIONAL # 8211, PARTIDO IGLESIAS, 32310, CD. JUAREZ, CHI"
244080,2026-09-21,OPERADORA TURISTICA OMV,"TAPESTRY COLLECTION BY HILTON ALBOR SAN MIGUEL DE ALLENDE, MEXICO (BJXUP)",Cobro Regreso,"SAN MIGUEL DE ALLENDE, GTO.","CAMINO A LAS 3 CRUCES 149, SALTITO DE GUADALUPE, 37760, SAN MIGUEL DE ALLENDE, GTO"
244081,2026-09-21,FJH HOTELEROS,EJECUTIVO EXPRESS,Transporte LOCAL,"GUADALAJARA, JAL.","AV.MEXICO No.2920, TERRANOVA, 44689, GUADALAJARA, JAL"
244082,2026-09-21,OPERADORA ENCORE QUERETARO,ENCORE QUERETARO (EQRO),Cobro Regreso,"QUERETARO, QUE.","CARRETERA QUERETARO-SAN LUIS POTOSÍ #11515, EL SALITRE, 76230, QUERETARO, QUE"
