Factura,Almacen,Fecha_Conta,Cliente,Nombre_Cliente,Nombre_Extran,Domicilio,Colonia,Cuidad,Estado,CP,CAJAS,SURTIDOR,PAQUETERIA,FECHA,INCIDENCIA
234924,1,2026-02-19,C07513,HOTEL REAL DE LA PEÑA,HOTEL REAL DE LA PEÑA,CALLE PORFIRIO DIAZ #1,CENTRO,BERNAL,QUE,76680,4,,,,
234925,1,2026-02-19,C08899,HB CORDOBA,HOTEL HB,CALLE 8 #1315 Y AV.11,BELLAVISTA,CORDOBA,VER,94580,12,,,,
234926,1,2026-02-19,C07298,ALMACENES PALACE RESORTS,LE BLANC CABOS,KM 18.4 CARRETERA TRANSPENINSULAR SJC-CSL,LOMAS DEL TULE,SAN  JOSE DEL CABO,BCS,23405,8,,,,
234927,1,2026-02-19,C06655,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,HOLIDAY INN EXPRESS PUEBLA (PUEFB),AV HERMANOS SERDAN 141,AMOR,PUEBLA,PUE,72140,15,,,,
234928,1,2026-02-19,C08637,SERVICIOS TURISTICOS MARIANO OTERO,HOTEL LA ESTANCIA,AV MARIANO OTERO #2407 INT A,RESIDENCIAL VICTORIA,ZAPOPAN,JAL,45089,4,,,,
234929,1,2026-02-19,C00816,REHAT HOTELS,HOTEL VERTICCA,CARR FEDERAL MEXICO - PACHUCA KM 34.50 MANZANA 1 LOTE 1E,FRACC. SIERRA HERMOSA,SANTA CRUZ TECÁMAC,MEX,55749,7,,,,
234930,1,2026-02-19,C03306,CONSORCIO ADMINISTRADOR DE HOTELES NEKIE,HOTEL NEKIE,AV. TECNOLOGICO # 2661,FRACC. LAGOS DEL COUNTRY,TEPIC,NAY,63175,6,,,,
234931,1,2026-02-19,C01001,GRUPO COR VAL DE NOGALES,HOTEL HACIENDA DEL REAL,AV.INDUSTRIAL 26,FRACC. CALIFORNIA,NOGALES,SON,84094,4,,,,
234932,1,2026-02-19,CP0024,OPERADORA TURISTICA AURORA,HOTEL ENCORE GUADALAJARA (EGDL),LOPEZ MATEOS SUR 1710 INT B,SANTA ISABEL,TLAJOMULCO DE ZUÑIGA,JAL,45645,7,,,,
234933,1,2026-02-19,C08431,INMOBILIARIA ANGUITA,RAMADA SANTA FE,AVENIDA VASCO DE QUIROGA 1840,TLAPECHICO,ALVARO OBREGON,CMX,01230,5,,,,
234935,1,2026-02-19,C06134,"RIALBE, OPERADORA DE HOTELES",BF IXTAPA,BOULEVARD PASEO IXTAPA SIN NUMERO,ZONA HOTELERA,ZIHUATANEJO DE AZUETA,GRO,40884,55,,,,
234936,1,2026-02-19,C08530,HOTELERIA SUSTENTABLE DEL PACIFICO,HOLIDAY INN EXPRESS CULIACAN (CULPY),JESUS MANUEL SARABIA 2460,FRACCIONAMIENTO URBANO  3 RIOS,CULIACAN,SIN,80020,8,,,,
234937,1,2026-02-19,C00668,INMOBILIARIA HOTELERA DE YUCATAN,HOLIDAY INN MERIDA (MIDMX),AV.COLON 498 X 60,MONTEJO,MERIDA,YUC,97127,17,,,,
234938,1,2026-02-19,C04107,ORGANIZACION DE BIENES Y SERVICIOS,HOLIDAY INN EXPRESS PACHUCA (MEXMK),Blvd. Luis Donaldo Colosio #212 – PH,Fracc. Arboledas de San Javier,PACHUCA,HID,42084,14,,,,
234939,1,2026-02-19,C09644,CORPORATIVO TURISTICO GB,POSADA DE DON VASCO,AVENIDA LAZARO CARDENAS 450,CENTRO,PATZCUARO,MCH,61600,21,,,,
234940,1,2026-02-19,C09670,FRAGATA SERVICES,CIELO BONITO HOTEL BOUTIQUE,CALLE LAGUNA DE TERMINOS #57,FRACC. RESIDENCIAL DEL LAGO,CIUDAD DEL CARMEN,CAM,24158,3,,,,
234941,1,2026-02-19,C08323,TURISTICA ARIZONA,HOLIDAY INN EXPRESS SAN LUIS POTOSI A0201813 (SLPMV),AV BENITO JUAREZ 1270,VALLE DORADO,SAN LUIS POTOSI,SLP,78399,2,,,,
234942,1,2026-02-19,C00547,OPERADORA JAMAS,HOTEL FENIX,AV.CORONA # 160,ZONA CENTRO,GUADALAJARA,JAL,44100,15,,,,
234943,3,2026-02-19,C04151,OPERADORA RR CARIBBEAN,"HILTON CANCUN MAR CARIBE ALL-INCLUSIVE RESORT, MX (CUNMC)","BLVD KUKULCAN,KM 17, MANZANA 53, SECCION A, SEGUNDA ETAPA, RETORNO GUCUMATZ, ZONA TURISTICA LOTE 50",ZONA HOTELERA,BENITO JUAREZ,QR,77500,14,,,,
234944,1,2026-02-19,CP0026,MOTEL CALIFORNIA COURTS,MOTEL CALIFORNIA,EMILIO CASTELAR# 81/ ENTRE VALLARTA Y LOPEZ COTILLA,ARCOS VALLARTA,GUADALAJARA,JAL,44130,5,,,,
234945,13,2026-02-19,C08635,EQUIPAMIENTOS HOTELEROS ECUADOR HOTEQUIE SAS,EQUIPAMIENTOS HOTELEROS ECUADOR HOTEQUIE SAS,Calle: LA NIÑA Número: E852 Intersección: DIEGO DE ALMAGRO Edificio: ROYAL,BUSINESS Número de oficina: 608 Número de piso: 6 Referencia: MULTICENTRO,Pichincha Quito Mariscal Sucre,PIC,70102,228,,,,
234946,13,2026-02-19,C08635,EQUIPAMIENTOS HOTELEROS ECUADOR HOTEQUIE SAS,EQUIPAMIENTOS HOTELEROS ECUADOR HOTEQUIE SAS,Calle: LA NIÑA Número: E852 Intersección: DIEGO DE ALMAGRO Edificio: ROYAL,BUSINESS Número de oficina: 608 Número de piso: 6 Referencia: MULTICENTRO,Pichincha Quito Mariscal Sucre,PIC,70102,228,,,,
234947,1,2026-02-19,C04234,NOGASA CONSULTORES,NOGASA CONSULTORES,CALLE PASEO DE LAS MISIONES #927. LOCAL D 201,CAMPO DE GOLF,SAN JOSE DEL CABO,BCS,23405,5,,,,
234948,1,2026-02-19,C09620,EB HOTEL OWNER LLC,SUSURROS DEL CORAZON AUBERGE COLLECION,CARRETERA A PUNTA DE MITA 1685 S/N,CRUZ DE HUANACAXTLE,BAHIA DE BANDERAS,NAY,63734,3,,,,
234949,1,2026-02-19,C04082,TRITRISQUELES,RAMADA PLAZA VERACRUZ,AV.LAS AMERICAS 241,FRACC. DE LAS AMERICAS,BOCA DEL RIO,VER,94299,6000,,,,
234950,1,2026-02-19,C07083,HOTEL MONTENEGRO GDL,HOTEL ISABEL,JOSE GUADALUPE MONTENEGRO #1572,MODERNA,GUADALAJARA,JAL,44160,1,,,,
234951,1,2026-02-19,C04242,OPERADORA DECORI SILAO,"HAMPTON SILAO-AEROPUERTO BAJIO, MEXICO (BJXSG)",CARRETERA 45 SILAO-LEON 550 KM 152,PREDIO ROSA DE CASTILLA,SILAO,GTO,36126,4,,,,
234952,1,2026-02-19,C07738,BOTANICAROMATICA,XINU,Rio Misisipi # 58,Cuauhtemoc Delegación cuauhtémoc,CIUDAD DE MEXICO,CMX,06500,17,,,,
234953,1,2026-02-19,C09629,EQUILIMP,EQUILIMP QUERETARO,AV PEÑUELAS 5 INT:3,SAN PEDRITO PEÑUELAS,QUERETARO,QUE,76148,4,,,,
234954,1,2026-02-19,C09477,ADMINISTRADORA HOTELES LOA,SLEEP INN PUEBLA (143234),CALLE 4 NORTE #1206,CENTRO,PUEBLA,PUE,72000,12,,,,
234955,1,2026-02-19,C09671,HOTEL BOUTIQUE HILO ROJO,HOTEL BOUTIQUE HILO ROJO,SALIDA REAL A QUERETARO #136 A,CENTRO,SAN MIGUEL DE ALLENDE,GTO,37700,5,,,,
234956,1,2026-02-19,C07738,BOTANICAROMATICA,XINU,Rio Misisipi # 58,Cuauhtemoc Delegación cuauhtémoc,CIUDAD DE MEXICO,CMX,06500,71,,,,
234957,1,2026-02-19,C03447,OPERADORA DE HOTELES EL SALTO JALISCO,"HAMPTON GUADALAJARA-AEROPUERTO, MEXICO (GDLHA)",SOLIDARIDAD 7012 A,LAS PINTAS,EL SALTO,JAL,45690,23,,,,
234958,1,2026-02-19,C03923,TURISTICA DEL VALLE,HOTEL MESON DEL VALLE,CALZADA ZAMORA-JACONA 515,CENTRO,JACONA,MCH,59800,16,,,,
234959,1,2026-02-19,C04370,FIDEICOMISO IRREVOCABLE DB/1616,MICROTEL TOLUCA(TLUMI),BLVD. AEROPUERTO MIGUEL ALEMAN 125,REFORMA,Toluca,MEX,50200,8,,,,
234960,1,2026-02-19,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,2,,,,
234961,1,2026-02-19,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,1,,,,
234962,1,2026-02-19,C06539,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,PRESIDENTE INTERCONTINENTAL POLANCO,CAMPOS ELISEOS 218,POLANCO,CIUDAD DE MEXICO,CMX,11560,15,,,,
234963,1,2026-02-19,C09328,COMERCIALIZADORA SANITARIA,COMSAN,CALLE SARIC Y ALTAR S/N LOCAL No. 9,LAS CONCHAS,PUERTO PEÑASCO,SON,83550,8,,,,
234964,1,2026-02-19,C01774,GEORGINA GUADALUPE VILLASEÑOR DEL CASTILLO,HOTEL STORE PUERTO VALLARTA,AV TEPIC NORTE 473,MEZCALES,BAHIA DE BANDERAS,NAY,63732,18,,,,
234965,1,2026-02-19,C08120,ABRIL DE OCCIDENTE,MOTEL LOMA LINDA,AV  COLON 4292,EL SAUZ,SAN PEDRO TLAQUEPAQUE,JAL,45608,27,,,,
234966,1,2026-02-19,C08450,NICANDRO ARELLANO BENAVIDES,MOTEL AMORE MIO,BLVD. LUIS DONALDO COLOSIO 442-A,BENITO JUAREZ ORIENTE,TEPIC,NAY,63175,4,,,,
234967,1,2026-02-19,C06158,EL HOSTAL DE LOS POETAS,MESON DE LOS POETAS,POSITOS 35,CENTRO,GUANAJUATO,GTO,36000,10,,,,
234968,1,2026-02-19,C07965,HOTELERA CAI,HOTEL CAI,AV.  GUADALUPE # 596 594,CHAPALITA,ZAPOPAN,JAL,44500,4,,,,
234969,1,2026-02-19,C09600,GRUPO HOTELERO ROUZ,NOVOTEL SANTA FE,Antonio Dovali Jaime  #75,Cento de Cd. Santa FE,ALVARO OBREGON,CMX,01210,7,,,,
234970,1,2026-02-19,C07901,VALIRIA HOTEL & SPA,HOTEL DEMETRIA,AV LA PAZ #2219,LAFAYETTE,GUADALAJARA,JAL,44150,2,,,,
234971,1,2026-02-19,C02212,HOTELES PARADISE DE CULIACAN,MOTEL MAIORIS EL DIEZ,CARR.CULIACAN EL DORADO KM. 4.5 No.7220,RINCON DEL VALLE,CULIACAN,SIN,80155,13,,,,
234972,1,2026-02-19,C05472,GRUPO POSADAS,FIESTA AMERICANA REFORMA  FARF,AVENIDA PASEO DE LA REFORMA # 80,JUAREZ,MEXICO,DF,06600,5,,,,
234973,1,2026-02-19,C00237,GRUPO HOTELERO MEXICANO,INDIGO GUADALARA (GDLAL),AV.LOPEZ MATEOS SUR # 1280,CAMPO DE POLO CHAPALITA,GUADALAJARA,JAL,45040,16,,,,
234975,1,2026-02-20,C02077,ARRENDADORA JUAREZ DE LEON,MOTEL VENUS DE LEON,JOSE MARIA MORELOS OTE #4302,LA PECHUGA,LEON,GTO,37288,1,,,,
234976,1,2026-02-20,C02077,ARRENDADORA JUAREZ DE LEON,MOTEL VENUS DE LEON,JOSE MARIA MORELOS OTE #4302,LA PECHUGA,LEON,GTO,37288,1,,,,
234977,1,2026-02-20,C00147,OPERADORA TURISTICA EMPORIO REFORMA,EMPORIO REFORMA,PASEO DE LA REFORMA 124,JUAREZ,MEXICO,CMX,06600,2,,,,
234978,1,2026-02-20,C09213,ADMINISTRADORA INN POTOSINA,RADISSON SAN LUIS POTOSI AEROPUERTO (148705),CAMINO AL AEROPUERTO 590,RINCONADA DE LOS MAGUEYES,SAN LUIS POTOSI,SLP,78100,1,,,,
234979,1,2026-02-20,C07738,BOTANICAROMATICA,XINU,Rio Misisipi # 58,Cuauhtemoc Delegación cuauhtémoc,CIUDAD DE MEXICO,CMX,06500,31,,,,
234981,3,2026-02-20,C05429,HOTEL HOYO UNO,ALILA MAYAKOBA,"CARRETERA FEDERAL CHETUMAL, PUERTO  JUAREZ KM 298",SOLIDARIDAD,PLAYA DEL CARMEN,QR,77710,9,,,,
