"MES,COSTO DE FLETE,FACTURACIÓN,CAJAS ENVIADAS,COSTO LOGÍSTICO,COSTO POR CAJA,META INDICADOR ,VALUACION INCIDENCIAS,% DE INCIDENCIAS, IN 2026VS 2025 ,INCREMENTO + VI,% DE INCREMENTO VS 2024,COSTO POR CAJA 2025"
"SEPTIEMBRE,"" $489,971.27 "","" $8,091,351.78 "",9420,6.06%, $52.01 ,7.0%,$0.00,0%,"" $67,562.20 "",""-$67,562.20"",14%,$52.40"
"OCTUBRE,"" $578,845.18 "","" $8,197,169.10 "",8038,7.06%, $72.01 ,7.0%,$0.00,0%,"" $154,182.00 "",""-$154,182.00"",34%,$55.00"
"DICIEMBRE,"" $441,356.51 "","" $6,425,855.24 "",5545,6.87%, $79.60 ,7.0%,$0.00,0%,"" $122,740.81 "",""-$122,740.81"",28%,$57.46"
"ENERO,"" $534,301.89 "","" $7,988,082.17 "",6499,6.69%, $82.21 ,7.5%,""$4,000.00"",1%,"" $157,042.55 "",""-$153,042.55"",29%,$58.05"
"FEBRERO,"" $138,014.98 "","" $1,579,456.15 "",1626,8.74%, $84.88 ,7.5%,$0.00,0%,"" $31,821.88 "",""-$31,821.88"",23%,$65.31"
