NO CLIENTE,FACTURA,NOMBRE DEL CLIENTE,DESTINO,PROGRAMACION,ESTATUS,FECHA DE ENVIO,SURTIDOR,CAJAS,PAQUETERIA,INCIDENCIA
C07222,238441,CITY JUNIOR CANCUN (CJCUN),"CANCUN, QR",14/05/2026,ENVIADO,,,9,CEDIS CANCUN,
C03987,238442,SABINO GORDO HOTEL,"MELCHOR MUZQUIZ, COA",14/05/2026,ENVIADO,14/05/2026,KEVIN,7,PAQMEX,
C03052,238443,HOTEL MATIAN BOUTIQUE,"TEQUISQUIAPAN, QUE",14/05/2026,PENDIENTE,,,4,,
C07258,238444,CITY EXPRESS ALTAMIRA (CEALT),"ALTAMIRA, TAM",14/05/2026,ENVIADO,14/05/2026,FELIX,4,TRES GUERRAS,
C08292,238445,HOTEL FRESNO GALERIAS,"TORREON, COA",14/05/2026,ENVIADO,14/05/2026,KEVIN,30,TRES GUERRAS,
C08464,238446,"HILTON GARDEN INN BOCA DEL RIO, VERACRUZ MEXICO (VERBR)","BOCA DEL RIO VERACRUZ, VER",14/05/2026,ENVIADO,14/05/2026,FELIX,3,TRES GUERRAS,
C00128,238447,HOTEL MANSION DEL CUPATITZIO,"URUAPAN, MCH",14/05/2026,ENVIADO,14/05/2026,KEVIN,7,TRES GUERRAS,
C06326,238448,HOTEL LOS ITZAES,"PLAYA DEL CARMEN, QR",14/05/2026,ENVIADO,,,2,CEDIS CANCUN,
C09052,238449,RADISSON PUEBLA ANGELOPOLIS (145137),"PUEBLA, PUE",14/05/2026,ENVIADO,14/05/2026,KEVIN,3,TRES GUERRAS,
C07280,238450,CITY EXPRESS MONTERREY SANTA CATARINA (CEMTY),"SANTA CATARINA, NL",14/05/2026,ENVIADO,14/05/2026,FELIX,16,PAQMEX,
C08075,238451,VENTAS MOSTRADOR PLAYA,"SOLIDARIDAD, QR",14/05/2026,ENVIADO,,,6,CEDIS CANCUN,
C09421,238452,GRUPO AGC,"GUADALAJARA, JAL",14/05/2026,ENVIADO,,,4200,LOCAL,AGC
C08939,238453,HOTEL WYNDHAM GRAND CANCUN ONLY INCLUSIVE RESORTS  &VILLAS,"CANCUN, QR",14/05/2026,ENVIADO,,,6,CEDIS CANCUN,
C07251,238454,CITY JUNIOR SAN LUIS POTOSI CARRANZA (CJSLP),"SAN LUIS POTOSI, SLP",15/05/2026,ENVIADO,15/05/2026,FELIX,10,TRES GUERRAS,
C06190,238455,ONATEXTILES,"BAVARO, LAG",15/05/2026,ENVIADO,,,6,EXPORTACION,
C09363,238456,MOTTO GUADALAJARA,"GUADALAJARA, JAL",15/05/2026,PENDIENTE,,,36,,
C08800,238457,STAYBRIDGE SALTILLO (SLWGP),"SALTILLO, COA",15/05/2026,ENVIADO,15/05/2026,FELIX,3,TRES GUERRAS,
C08871,238458,HOLIDAY INN EXPRESS & SUITES PUEBLA ANGELOPOLIS  (PUEAN),"SAN ANDRES CHOLULA, PUE",15/05/2026,ENVIADO,15/05/2026,FELIX,19,TRES GUERRAS,
C08529,238459,HOLIDAY INN EXPRESS GUAYMAS (GYMSO),"GUAYMAS, SON",15/05/2026,ENVIADO,15/05/2026,FELIX,4,TINY,
C09034,238460,COURTYARD BY MARRIOTT CIUDAD DEL CARMEN CAMPECHE,"CIUDAD DEL CARMEN, CAM",15/05/2026,ENVIADO,15/05/2026,FELIX,27,TRES GUERRAS,
C08387,238461,COURTYARD MAZATLAN A0157919,"MAZATLAN, SIN",15/05/2026,ENVIADO,15/05/2026,FELIX,13,TINY,
C08275,238462,"HILTON MEXICO CITY/REFORMA, MEXICO (MEXRF)","DELEGACION CUAUHTEMOC, CMX",15/05/2026,PENDIENTE,,,32,,
C03991,238463,HOTEL LOS AMANTES,"ENSENADA, BC",15/05/2026,ENVIADO,15/05/2026,FELIX,6,TRES GUERRAS,
C01930,238464,WYNDHAM GARDEN AGUASCALIENTES,"AGUASCALIENTES, AGS",15/05/2026,ENVIADO,15/05/2026,FELIX,21,ONE,
C01625,238465,CROWNE PLAZA VILLAHERMOSA (VSAMX),"VILLAHERMOSA CENTRO, TAB",15/05/2026,ENVIADO,15/05/2026,FELIX,2,TRES GUERRAS,
C01971,238466,COURTYARD MARRIOTT TOLLOCAN,"TOLUCA, MEX",15/05/2026,ENVIADO,15/05/2026,FELIX,9,ONE,
C06685,238467,COURTYARD MARRIOTT AEROPUERTO TOLUCA A0088678,"TOLUCA, MEX",15/05/2026,ENVIADO,15/05/2026,FELIX,6,ONE,
C08301,238468,CLICK EFFICIENCY COURTYARD PUEBLA LAS ANIMAS A0089983,"PUEBLA, PUE",15/05/2026,ENVIADO,15/05/2026,FELIX,10,ONE,
C06518,238469,HOLIDAY INN CHILPANCINGO (ACAGO),"CHILPANCINGO, GRO",15/05/2026,ENVIADO,15/05/2026,FELIX,4,TRES GUERRAS,
C01684,238470,HOLIDAY INN DURANGO A0210061 (DGOMX),"DURANGO, DUR",15/05/2026,ENVIADO,15/05/2026,FELIX,7,LOCAL,
C08433,238471,ENCORE AEROPUERTO GUADALAJARA,"EL SALTO, JAL",15/05/2026,ENVIADO,15/05/2026,FELIX,6,LOCAL,
C01657,238472,HOLIDAY INN PUEBLA FINSA A0201874 (PUEVW),"PUEBLA, PUE",15/05/2026,ENVIADO,15/05/2026,FELIX,8,ONE,
C05514,238473,FAIRFIELD INN BY MARRIOTT VILLAHERMOSA,"VILLAHERMOSA, TAB",15/05/2026,ENVIADO,15/05/2026,FELIX,10,TRES GUERRAS,
C02301,238474,HOLIDAY INN VITA TIJUANA ZONA RIO  SPA TIJUANA (TIJZR),"TIJUANA, BC",15/05/2026,ENVIADO,15/05/2026,FELIX,5,TRES GUERRAS,
C01639,238475,QUALITY INN PIEDRAS NEGRAS (143217),"PIEDRAS NEGRAS, COA",15/05/2026,ENVIADO,15/05/2026,FELIX,1,TRES GUERRAS,
C03875,238476,ONE XALAPA (1JLPA),"XALAPA, VER",15/05/2026,ENVIADO,15/05/2026,KEVIN,5,TRES GUERRAS,
C03063,238477,ONE TIJUANA OTAY 1TIOT,"TIJUANA, BC",15/05/2026,ENVIADO,15/05/2026,FELIX,6,TRES GUERRAS,
C01613,238478,ONE MONTERREY (1MTAP),"APODACA, NL",15/05/2026,ENVIADO,15/05/2026,FELIX,10,TRES GUERRAS,
C05918,238479,ONE GUADALAJARA EXPO (1GDEX),"GUADALAJARA, JAL",15/05/2026,ENVIADO,15/05/2026,FELIX,1,LOCAL,
C04157,238480,HOTEL POSADA SAN MARTIN,"ENSENADA, BC",15/05/2026,ENVIADO,15/05/2026,FELIX,4,TRES GUERRAS,
C09179,238481,BELLAFER COLLECTION HOTEL & RESORT,"PLAYAS DE ROSARITO, BC",15/05/2026,ENVIADO,15/05/2026,FELIX,2,TRES GUERRAS,
C00485,238482,HOLIDAY INN GUADALAJARA SELECT GRUPO HOLA (GDLHI),"GUADALAJARA, JAL",15/05/2026,ENVIADO,15/05/2026,FELIX,6,LOCAL,
C02107,238483,FIESTA AMERICANA GRAND VERACRUZ FAVZ,"BOCA DEL RIO, VER",15/05/2026,ENVIADO,15/05/2026,FELIX,2000,TRES GUERRAS,
C03326,238484,CITY PLUS MONTERREY CENTRO (CPMTC),"MONTERREY, NL",15/05/2026,ENVIADO,15/05/2026,FELIX,15,ONE,
C08134,238485,VILLAS DEL PALMAR LOS CABOS,"CABO SAN LUCAS, BCS",15/05/2026,ENVIADO,15/05/2026,FELIX,3,TRES GUERRAS,
C09612,238486,HOLIDAY INN EXPRESS LOS MOCHIS,"AHOME, LOS MOCHIS, SIN",15/05/2026,ENVIADO,15/05/2026,FELIX,4,ONE,
C08827,238487,HOTEL PUERTA DE PIEDRA,"ZAPOPAN, JAL",15/05/2026,ENVIADO,15/05/2026,KEVIN,4,LOCAL,
C09001,238488,MOTEL LOVE GDL,"GUADALAJARA, JAL",15/05/2026,ENVIADO,15/05/2026,FELIX,3,LOCAL,
C08819,238489,PARKLIFE GUADALAJARA,"GUADALAJARA, JAL",15/05/2026,ENVIADO,15/05/2026,FELIX,3,LOCAL,
C08997,238490,MARCOS ALFREDO RAMOS SANDOVAL,"DELICIAS, CHI",15/05/2026,ENVIADO,15/05/2026,FELIX,2,TINY,
C09366,238491,COMFORT INN PITIC HERMOSILLO (152792),"HERMOSILLO, SON",15/05/2026,ENVIADO,15/05/2026,,1000,SOLO FACTURA,
C00452,238492,SLEEP INN MEXICALI (143230),"MEXICALI, BC",15/05/2026,ENVIADO,15/05/2026,,1000,SOLO FACTURA,
C00061,238493,HOTEL DE MENDOZA,"GUADALAJARA, JAL",15/05/2026,ENVIADO,15/05/2026,,2000,SOLO FACTURA,
C06624,238494,COUTYARD MARRIOT VILLAHERMOSA TABASCO A0099667,"VILLAHERMOSA, TAB",15/05/2026,ENVIADO,15/05/2026,KEVIN,22,TRES GUERRAS,
C09771,238495,ARMANDO YAEL MARROQUIN AYALA,"CUAHTEMOC, CMX",15/05/2026,ENVIADO,,,1,SOLO FACTURA,
C09771,238496,ARMANDO YAEL MARROQUIN AYALA,"CUAHTEMOC, CMX",15/05/2026,ENVIADO,,,1,SOLO FACTURA,
C09772,238497,LUIS CARLOS GARCIA DELGADO,"MIGUEL HIDALGO, CMX",15/05/2026,ENVIADO,,,1,SOLO FACTURA,
C09773,238498,JOSE ALEJANDRO SOSA GAMBOA,"MERIDA, YUC",15/05/2026,ENVIADO,,,1,SOLO FACTURA,
C05518,238499,HOLIDAY INN EXPRESS XALAPA (JALEX),"XALAPA ENRIQUEZ, VER",15/05/2026,ENVIADO,15/05/2026,KEVIN,6,TRES GUERRAS,
C09411,238500,HOLIDAY INN CUERNAVACA (CVJMX),"CUERNAVACA, MOR",15/05/2026,ENVIADO,15/05/2026,KEVIN,4,TRES GUERRAS,
C09128,238501,CASA LERDO HOTEL BOUTIQUE,"ZAPOPAN, JAL",15/05/2026,ENVIADO,15/05/2026,FELIX,2,TRES GUERRAS,
C07361,238502,HOTEL MARTINAS,"PUERTO ESCONDIDO, OAX",15/05/2026,ENVIADO,15/05/2026,KEVIN,29,TRES GUERRAS,
C08659,238503,JOSE ALFREDO PERALES GAMBOA,"ZACATECAS, ZAC",15/05/2026,ENVIADO,15/05/2026,KEVIN,3,TRES GUERRAS,
C04135,238504,HOTEL VICTORIA,"CD. CONSTITUCION, BCS",15/05/2026,ENVIADO,15/05/2026,KEVIN,3,TRES GUERRAS,
C00275,238505,HOTEL LAFAYETTE,"GUADALAJARA, JAL",15/05/2026,ENVIADO,15/05/2026,FELIX,30,LOCAL,
C07087,238506,AZUL SIRENA,"SANTA CRUZ HUATULCO, OAX",15/05/2026,ENVIADO,15/05/2026,KEVIN,18,TRES GUERRAS,
C08912,238507,SOLEARE HOTEL BOUTIQUE,"CD. MADERO, TAM",15/05/2026,ENVIADO,15/05/2026,FELIX,59,TRES GUERRAS,
C04419,238508,AUTO HOTEL EL SUMIDERO,"TUXTLA GUTIERREZ, CHS",15/05/2026,ENVIADO,15/05/2026,KEVIN,15,TRES GUERRAS,
C07255,238509,CITY PLUS MUNDO E (CPSTM),"TLANEPANTLA, CMX",15/05/2026,ENVIADO,15/05/2026,KEVIN,6,TRES GUERRAS,
C02056,238510,EMPORIO MAZATLAN,"MAZATLAN, SIN",15/05/2026,ENVIADO,15/05/2026,FELIX,4,TINY,
C00353,238511,EMPORIO VERACRUZ,"VERACRUZ, VER",15/05/2026,ENVIADO,15/05/2026,KEVIN,5,TRES GUERRAS,
C07256,238512,CITY EXPRESS LA RAZA (CELRZ),"CIUDAD DE MEXICO, CMX",15/05/2026,ENVIADO,15/05/2026,KEVIN,19,TRES GUERRAS,
CP0026,238513,MOTEL CALIFORNIA,"GUADALAJARA, JAL",15/05/2026,ENVIADO,15/05/2026,FELIX,15,LOCAL,
C07431,238514,IBEROSTAR PLAYA PARAISO,"PLAYA DEL CARMEN, QR",16/05/2026,ENVIADO,15/05/2026,,61,,CEDIS
C07431,238515,IBEROSTAR PLAYA PARAISO,"PLAYA DEL CARMEN, QR",16/05/2026,ENVIADO,15/05/2026,,2,,CEDIS
C01774,238516,HOTEL STORE PUERTO VALLARTA,"BAHIA DE BANDERAS, NAY",16/05/2026,ENVIADO,16/05/2026,KEVIN,28,SANCHEZ,16/17 VIAJAN JUNTAS
C01774,238517,HOTEL STORE PUERTO VALLARTA,"BAHIA DE BANDERAS, NAY",16/05/2026,ENVIADO,16/05/2026,KEVIN,10,SANCHEZ,
C08939,238518,HOTEL WYNDHAM GRAND CANCUN ONLY INCLUSIVE RESORTS  &VILLAS,"CANCUN, QR",16/05/2026,ENVIADO,,,2,CEDIS CANCUN,
C09650,238519,RESIDENCE INN MERIDA BY MARRIOTT ( 2613 ),"MERIDA, YUC",16/05/2026,ENVIADO,16/05/2026,KEVIN,34,TRES GUERRAS,
C04501,238520,BARCELO HUATULCO,"HUATULCO, OAX",16/05/2026,ENVIADO,16/05/2026,,113,SOLO FACTURA,
C03072,238521,HOTEL MARIA DOLORES SAN LUIS,"SAN LUIS POTOSI, SLP",16/05/2026,ENVIADO,16/05/2026,,1,SOLO FACTURA,
C07822,238522,HYATT ZILARA CAPRI,"PLAYA DEL CARMEN, QR",16/05/2026,ENVIADO,,,8,CEDIS CANCUN,
CLIESP,238523,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",16/05/2026,ENVIADO,15/05/2026,FELIX,4,LOCAL,
C03733,238524,ONE & ONLY MANDARINA,"COMPOSTELA, NAY",16/05/2026,ENVIADO,18/05/2026,KEVIN,12,SANCHEZ,
C07020,238525,ENCORE AGUASCALIENTES A0191473,"AGUASCALIENTES, AGS",16/05/2026,ENVIADO,18/05/2026,FELIX,6,TRES GUERRAS,
C07879,238526,HOLIDAY INN EXPRESS & SUITES MONTERREY SENDERO NORTE,"CDAD. GRAL. ESCOBEDO, NL",16/05/2026,ENVIADO,18/05/2026,KEVIN,12,ONE,
C01819,238527,HOLIDAY INN EXPRESS OAXACA CENTRO HISTORICO (OACMX),"OAXACA, OAX",16/05/2026,ENVIADO,,,1,CEDIS MONTERREY,
CLIESP,238528,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",16/05/2026,ENVIADO,,,2,LOCAL,
C03045,238529,HOTEL MANSION ITURBE,"PATZCUARO, MCH",16/05/2026,ENVIADO,18/05/2026,FELIX,3,TRES GUERRAS,
C09776,238530,IMPULSORA PROMOTORA DEL NORTE,"CHIHUAHUA, CHI",16/05/2026,ENVIADO,,,1,SOLO FACTURA,
C08267,238531,MICROTEL GUADALAJARA SUR,"TLAJOMULCO DE ZUÃƑÆ‘Ã‚Â‚¬ËŒIGA, JAL",16/05/2026,ENVIADO,18/05/2026,FELIX,3,LOCAL,
C01509,238532,"CURIO - A COLLECTION BY HILTON MS MILENIUM MONTERREY, MEXICO (MTYMM)","SAN PEDRO GARZA GARCIA, NL",16/05/2026,ENVIADO,18/05/2026,FELIX,5,TRES GUERRAS,
C08800,238533,STAYBRIDGE SALTILLO (SLWGP),"SALTILLO, COA",16/05/2026,ENVIADO,18/05/2026,FELIX,4,TRES GUERRAS,
C01585,238534,FIESTA INN VERACRUZ BOCA DEL RIO (FIVZP),"BOCA DEL RIO, VER",16/05/2026,ENVIADO,18/05/2026,KEVIN,3,TRES GUERRAS,
C03443,238535,HOTEL ZAR QUERETARO,"QUERETARO, QUE",16/05/2026,ENVIADO,18/05/2026,FELIX,10,TRES GUERRAS,
C01345,238536,MOTEL NUIT,"TLAJOMULCO DE ZUÃƑÆ‘Ã‚Â‚¬ËŒIGA, JAL",16/05/2026,ENVIADO,18/05/2026,FELIX,26,LOCAL,
C01566,238537,CHN CENTRO,"MONTERREY, NL",16/05/2026,ENVIADO,,,23,SOLO FACTURA,
C03072,238538,HOTEL MARIA DOLORES SAN LUIS,"SAN LUIS POTOSI, SLP",16/05/2026,ENVIADO,18/05/2026,FELIX,50,TRES GUERRAS,1 PLALET
C05739,238539,HOTEL ZAR COATZACOALCOS,"COATZACOALCOS, VER",16/05/2026,ENVIADO,18/05/2026,FELIX,15,TRES GUERRAS,
C09774,238540,CARLOS GERARDO RUEDA LOPEZ,"VILLA DEL CARBON, DF2",16/05/2026,PENDIENTE,,,2,,NOA RECOJIDO EL LOCO DE MANZANILLO
C09245,238541,DESARROLLO ARCANO,"ZIHUATANEJO DE AZUETA, GRO",16/05/2026,ENVIADO,18/05/2026,FELIX,1,TRES GUERRAS,
C08334,238542,AVID FRESNILLO (ZCLAV),"FRESNILLO, ZAC",16/05/2026,ENVIADO,18/05/2026,FELIX,30,TRES GUERRAS,
C03092,238543,HOTEL LUCERNA MEXICALI,"MEXICALI, BC",16/05/2026,ENVIADO,18/05/2026,FELIX,5,TRES GUERRAS,
C04248,238544,HOLIDAY INN EXPRESS GUADALAJARA AEROPUERTO (HIG),"EL SALTO, JAL",16/05/2026,ENVIADO,18/05/2026,KEVIN,10,LOCAL,
C08543,238545,"HAMPTON SAN LUIS POTOSI, MEXICO (SLPHX)","SAN LUIS POTOSI, SLP",16/05/2026,ENVIADO,18/05/2026,KEVIN,21,TRES GUERRAS,
C09777,238546,YESSICA CRISTEL DEL OLMO NOGUEZ,"ALVARO OBREGON, CMX",16/05/2026,ENVIADO,18/05/2026,KEVIN,1,SOLO FACTURA,SOLO FACTURA
C03072,238547,HOTEL MARIA DOLORES SAN LUIS,"SAN LUIS POTOSI, SLP",16/05/2026,ENVIADO,18/05/2026,KEVIN,1,SOLO FACTURA,
C05176,238548,HOLIDAY INN & SUITES LEON (BJXPM),"LEON, GTO",16/05/2026,ENVIADO,18/05/2026,KEVIN,11,TRES GUERRAS,
C09778,238549,SERVICIOS RESIDENCIALES Y CONTABLES VRL,"MANZANILLO, COL",16/05/2026,ENVIADO,18/05/2026,KEVIN,1,SOLO FACTURA,
C09398,238550,FIESTA AMERICANA RIVIERA NAYARIT (FARN),"BAHIA DE BANDERAS, NAY",16/05/2026,ENVIADO,18/05/2026,FELIX,5,SANCHEZ,
C07565,238551,CAMINO REAL GUANAJUATO EX HACIENDA SAN XAVIER (BJXCR),"GUANAJUATO, GTO",16/05/2026,ENVIADO,18/05/2026,KEVIN,10,TRES GUERRAS,
C07258,238552,CITY EXPRESS ALTAMIRA (CEALT),"ALTAMIRA, TAM",16/05/2026,ENVIADO,18/05/2026,KEVIN,1,SOLO FACTURA,SOLO FATURA
C02077,238553,MOTEL VENUS DE LEON,"LEON, GTO",16/05/2026,ENVIADO,18/05/2026,KEVIN,1,TRES GUERRAS,554 Y553   VIAJAN JUNTOS
C02077,238554,MOTEL VENUS DE LEON,"LEON, GTO",16/05/2026,ENVIADO,18/05/2026,KEVIN,2,TRES GUERRAS,
C07192,238555,CITY EXPRESS CIUDAD OBREGON (CECEN),"OBREGON, SON",16/05/2026,ENVIADO,18/05/2026,KEVIN,16,TINY,
C07402,238556,CITY JUNIOR SULLIVAN (CJSUL),"CIUDAD DE MEXICO, CMX",16/05/2026,ENVIADO,18/05/2026,KEVIN,2,ONE,556 VIAJA CON 557
C07402,238557,CITY JUNIOR SULLIVAN (CJSUL),"CIUDAD DE MEXICO, CMX",16/05/2026,ENVIADO,18/05/2026,KEVIN,9,ONE,
C07323,238558,CITY EXPRESS TIJUANA RIO (CETIR),"TIJUANA, BC",16/05/2026,ENVIADO,18/05/2026,KEVIN,16,TRES GUERRAS,
C01874,238559,HOLIDAY INN EXPRESS & SUITES MONTERREY AEROPUERTO(MTYZO),"APODACA, NL",16/05/2026,ENVIADO,18/05/2026,KEVIN,14,TRES GUERRAS,
C01825,238560,HOTEL MESON ECO,"ZAMORA, MCH",16/05/2026,ENVIADO,18/05/2026,KEVIN,19,TRES GUERRAS,
C07423,238561,CITY EXPRESS TAPACHULA (CETAP),"TAPACHULA, CHS",16/05/2026,ENVIADO,18/05/2026,KEVIN,10,TRES GUERRAS,
C08897,238562,HOTEL HOWARD JOHNSON MORELIA,"MORELIA, MCH",16/05/2026,ENVIADO,18/05/2026,KEVIN,32,TRES GUERRAS,
C04281,238563,HILTON GARDEN INN TIJUANA,"TIJUANA, BC",16/05/2026,ENVIADO,18/05/2026,KEVIN,2,TRES GUERRAS,
C08728,238564,"HAMPTON SALAMANCA BAJIO, MEXICO (QROSA)","SALAMANCA, GTO",16/05/2026,ENVIADO,18/05/2026,KEVIN,2,TRES GUERRAS,
C04844,238565,"HAMPTON QUERETARO TECNOLOGICO, MEXICO (QROHT)","QUERETARO, QUE",16/05/2026,ENVIADO,18/05/2026,FELIX,4,TRES GUERRAS,
C08531,238566,"HAMPTON TAMPICO ÃƑÂ€ŠÃ‚Â€ŠÂ¬Ã‚Â‚¬Å’ ZONA DORADA, MEXICO (TAMZD)","TAMPICO, TAM",16/05/2026,ENVIADO,18/05/2026,KEVIN,3,TRES GUERRAS,
C08543,238567,"HAMPTON SAN LUIS POTOSI, MEXICO (SLPHX)","SAN LUIS POTOSI, SLP",16/05/2026,ENVIADO,18/05/2026,KEVIN,5,TRES GUERRAS,
C08498,238568,"HILTON GARDEN INN LEON, MEXICO (BJXAD)","LEON, GTO",16/05/2026,ENVIADO,18/05/2026,KEVIN,5,TRES GUERRAS,
C08738,238569,"HAMPTON TAMPICO AEROPUERTO, MEXICO (TAMHS)","TAMPICO, TAM",16/05/2026,ENVIADO,18/05/2026,KEVIN,118,TRES GUERRAS,
C08586,238570,"HAMPTON CIUDAD JUAREZ, MEXICO (CDJMX)","JUAREZ, CHI",16/05/2026,ENVIADO,18/05/2026,KEVIN,18,TRES GUERRAS,
C08453,238571,"HILTON GARDEN INN AGUASCALIENTES, MEXICO (AGUGI)","AGUASCALIENTES, AGS",16/05/2026,ENVIADO,18/05/2026,KEVIN,4,ONE,
C07520,238572,CORPORACION CAFI DE BELEN SA,", CRH",19/05/2026,ENVIADO,19/05/2026,,943,EXPORTACION,
CLIESP,238573,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",19/05/2026,ENVIADO,18/05/2026,KEVIN,22,LOCAL,
C07520,238574,CORPORACION CAFI DE BELEN SA,", CRH",19/05/2026,ENVIADO,19/05/2026,,17,EXPORTACION,
C07520,238575,CORPORACION CAFI DE BELEN SA,", CRH",19/05/2026,ENVIADO,19/05/2026,,311,EXPORTACION,
C09607,238576,HAMPTON INN MONTERREY TEC,"MONTERREY, NL",19/05/2026,ENVIADO,19/05/2026,FELIX,2,,8576/8579 JUNTAS
C01958,238577,CORPORACION CAFI S A,"GUATEMALA, GU",19/05/2026,ENVIADO,19/05/2026,FELIX,0,EXPORTACION,
CP0015,238578,HOTEL MARIA JOSE,"ZAPOPAN, JAL",19/05/2026,ENVIADO,19/05/2026,FELIX,X,CLIENTE PASA,
C09607,238579,HAMPTON INN MONTERREY TEC,"MONTERREY, NL",19/05/2026,ENVIADO,19/05/2026,FELIX,0,,
C05488,238580,FIESTA INN CANCUN MALECON (FICUC),"CANCUN, QR",19/05/2026,ENVIADO,19/05/2026,FELIX,0,CEDIS CANCUN,
C09694,238581,DAYS INN BY WYNDHAM PLAYA DEL CARMEN,"PLAYA DEL CARMEN, QR",19/05/2026,ENVIADO,19/05/2026,FELIX,0,CEDIS CANCUN,
C09353,238582,WYNDHAM CD GUZMAN,"CD GUZMAN, JAL",19/05/2026,ENVIADO,19/05/2026,KEVIN,6,,
C09328,238583,COMSAN,"PUERTO PEÃƑÂ€˜ASCO, SON",19/05/2026,ENVIADO,19/05/2026,KEVIN,23,TRES GUERRAS,
C05467,238584,COMFORT INN SAN LUIS POTOSI (143206),"SAN LUIS POTOSI, SLP",19/05/2026,ENVIADO,19/05/2026,KEVIN,3,,
C09117,238585,GRAND CATALAGUA,"MORELIA, MCH",19/05/2026,ENVIADO,19/05/2026,KEVIN,3,,
C02648,238586,HOTEL HACIENDA LA VENTA,"SAN JUAN DEL RIO, QUE",19/05/2026,ENVIADO,19/05/2026,KEVIN,2,,
C01326,238587,COMFORT INN CORDOBA (143195),"CORDOBA, VER",19/05/2026,ENVIADO,19/05/2026,KEVIN,4,,
C01005,238588,RAMADA PLAZA LEON,"LEON, GTO",19/05/2026,ENVIADO,19/05/2026,KEVIN,2,,
C08781,238589,INDIGO LA PAZ (LAPGO),"LA PAZ, BCS",19/05/2026,ENVIADO,19/05/2026,KEVIN,7,,
C02549,238590,RAMADA BY WYNDHAM CANCUN,"CANCUN, QR",19/05/2026,ENVIADO,19/05/2026,,0,CEDIS CANCUN,
CP0024,238591,HOTEL ENCORE GUADALAJARA (EGDL),"TLAJOMULCO DE ZUÃƑÂ€˜IGA, JAL",19/05/2026,ENVIADO,19/05/2026,FELIX,7,,
C03616,238592,BAHIA PRINCIPE,"TULUM, QR",19/05/2026,ENVIADO,19/05/2026,,,CEDIS CANCUN,
C07309,238593,HOTEL BRILLANTE,"GUADALAJARA, JAL",19/05/2026,ENVIADO,19/05/2026,FELIX,2,,
C08075,238594,VENTAS MOSTRADOR PLAYA,"SOLIDARIDAD, QR",19/05/2026,ENVIADO,19/05/2026,,,CEDIS CANCUN,
C04160,238595,"HAMPTON TORREÃƑÂ€ŒN-AIRPORT GALERÃƑÂAS, MEXICO (TRCHA)","TORREON, COA",19/05/2026,ENVIADO,19/05/2026,KEVIN,20,,
C06381,238596,COURTYARD MARRIOT MEXICO CITY TOREO A0096790,"NAUCALPAN DE JUAREZ, MEX",19/05/2026,ENVIADO,19/05/2026,KEVIN,11,,
C07297,238597,PALACE RESORTS,"CANCUN, QR",19/05/2026,ENVIADO,19/05/2026,,,CEDIS CANCUN,
C08508,238598,"HAMPTON IRAPUATO, MEXICO (BJXIR)","IRAPUATO, GTO",19/05/2026,ENVIADO,19/05/2026,KEVIN,17,,
C05532,238599,FAIRFIELD INN & SUITES BY MARRIOTT QUERETARO JURIQUILLA A0095892,"JURIQUILLA, QUE",19/05/2026,ENVIADO,19/05/2026,KEVIN,4,,
C08580,238600,GRUPO HOTELERO LA ALBORADA,"COMITAN DE DOMINGUEZ, CHS",19/05/2026,ENVIADO,19/05/2026,KEVIN,6,,
C08704,238601,HOTEL CASA RYS,"OCOTLAN, JAL",19/05/2026,ENVIADO,19/05/2026,KEVIN,1,,
C09421,238602,GRUPO AGC,"GUADALAJARA, JAL",19/05/2026,ENVIADO,19/05/2026,,,,AGC
C01978,238603,HOTEL COUNTRY HILL,"PIEDRAS NEGRAS, COA",19/05/2026,ENVIADO,19/05/2026,KEVIN,2,,
C08500,238604,"HAMPTON PIEDRAS NEGRAS, MEXICO (PDSHX)","PIEDRAS NEGRAS, COA",19/05/2026,ENVIADO,19/05/2026,KEVIN,6,,
C04552,238605,HOLIDAY INN EXPRESS & SUITES QUERETARO (MQERG),"QUERETARO, QUE",19/05/2026,ENVIADO,19/05/2026,KEVIN,5,TRES GUERRAS,
C01915,238606,COURTYARD TUXPAN,"TUXPAN, VER",19/05/2026,ENVIADO,19/05/2026,KEVIN,9,,
C04763,238607,HOTEL EXE ALAMEDA REFORMA,"MEXICO, CMX",19/05/2026,ENVIADO,19/05/2026,FELIX,10,,607/609
C02351,238608,GILCHRIST & SOAMES,"PLAINFIELD, IN",19/05/2026,ENVIADO,,,,EXPORTACION,
C04763,238609,HOTEL EXE ALAMEDA REFORMA,"MEXICO, CMX",19/05/2026,ENVIADO,19/05/2026,FELIX,0,,607/609
C09621,238610,HOTEL PERLA ESCONDIDA,"TAMPICO, TAM",19/05/2026,ENVIADO,19/05/2026,FELIX,2,,
C08264,238611,CONDOMINIO MAR AZUL,"ACAPULCO DE JUAREZ, GRO",19/05/2026,ENVIADO,19/05/2026,FELIX,7,,
C08870,238612,REAL PLAZA,"SAN LUIS POTOSI, SLP",19/05/2026,ENVIADO,19/05/2026,FELIX,10,,
C03437,238613,CASA NATALIA,"SAN JOSE DEL CABO, LOS CABOS, BCS",19/05/2026,ENVIADO,19/05/2026,FELIX,6,,
