NO CLIENTE,FACTURA,NOMBRE DEL CLIENTE,DESTINO,PROGRAMACION,ESTATUS,FECHA DE ENVIO,SURTIDOR,CAJAS,PAQUETERIA,INCIDENCIA
C07298,238320,LE BLANC CABOS,"SAN  JOSE DEL CABO, BCS",12/05/2026,DETENIDO,13/05/2026,,1,TRES GUERRAS,
C07298,238321,LE BLANC CABOS,"SAN  JOSE DEL CABO, BCS",12/05/2026,DETENIDO,13/05/2026,,3,TRES GUERRAS,
C06042,238322,HOTEL VILLAMAR PRINCESA,"ACAPULCO, GRO",12/05/2026,ENVIADO,13/05/2026,KEVIN,5,TRES GUERRAS,
C03923,238323,HOTEL MESON DEL VALLE,"JACONA, MCH",12/05/2026,ENVIADO,13/05/2026,KEVIN,13,TRES GUERRAS,
C08373,238324,VILLAS DEL PALMAR LORETO,"LORETO, BCS",12/05/2026,ENVIADO,13/05/2026,KEVIN,12,TRES GUERRAS,
C04584,238325,WYNDHAM CHIHUAHUA/CASA GRANDE (CUUWY),"CHIHUAHUA, CHI",12/05/2026,ENVIADO,13/05/2026,KEVIN,5,TRES GUERRAS,25/26       VIAJAM JUNTAS
C04584,238326,WYNDHAM CHIHUAHUA/CASA GRANDE (CUUWY),"CHIHUAHUA, CHI",12/05/2026,ENVIADO,,,6,TRES GUERRAS,
C07032,238327,BANDERAS SUITES & HOTEL,"PLAYAS DE HUANACAXTLE, NAY",12/05/2026,ENVIADO,13/05/2026,FELIX,3,KORA,
C05844,238328,HOLIDAY INN EXPRESS SAN JERONIMO(MILENIUM) (MTYSJ),"MONTERREY, NL",12/05/2026,ENVIADO,,,10,SOLO FACTURA,
C06010,238329,HOTEL RITZ ACAPULCO,"ACAPULCO, GRO",12/05/2026,ENVIADO,13/05/2026,KEVIN,41,TRES GUERRAS,239/331
C07281,238330,CITY EXPRESS LAZARO CARDENAS (CELZC),"LAZARO CARDENAS, MCH",12/05/2026,ENVIADO,13/05/2026,KEVIN,15,TRES GUERRAS,
C06010,238331,HOTEL RITZ ACAPULCO,"ACAPULCO, GRO",12/05/2026,ENVIADO,13/05/2026,KEVIN,4,TRES GUERRAS,
C04134,238332,CENTRO MEDICO ALTEÃƑÆ‘Ã†Â€˜ÃƑÂ€ Ã‚Â‚¬ËŒÃƑÆ‘Ã‚Â‚¬Å ÃƑÂ€ŠÃ‚Â‚¬Å Ã‚Â¬ÃƑÂ€¹Ã…Â€™O,"TEPATITLAN DE MORELOS, JAL",12/05/2026,ENVIADO,13/05/2026,KEVIN,8,TRES GUERRAS,
C07441,238333,HOTEL JF GRAND,"PUEBLA, PUE",12/05/2026,ENVIADO,13/05/2026,KEVIN,7,TRES GUERRAS,
C08709,238334,HOTEL REAL DEL BOSQUE,"TULA DE ALLENDE, HID",12/05/2026,ENVIADO,13/05/2026,KEVIN,3,TRES GUERRAS,
C08709,238335,HOTEL REAL DEL BOSQUE,"TULA DE ALLENDE, HID",12/05/2026,ENVIADO,13/05/2026,KEVIN,12,TRES GUERRAS,
C09029,238336,FIFTY SUITES,"SOLIDARIDAD, QR",13/05/2026,ENVIADO,,,2,CEDIS CANCUN,
C09558,238337,AUTOHOTEL REAL DEL MONTE,"CARDENAS, TAB",13/05/2026,ENVIADO,14/05/2026,KEVIN,17,TRES GUERRAS,
C04008,238338,LILIANA CAMARILLO AMADOR,"LORETO, BCS",13/05/2026,ENVIADO,14/05/2026,FELIX,12,TRES GUERRAS,
C06452,238339,TALBOT HOTELS,"SANTIAGO, SCH",13/05/2026,ENVIADO,14/05/2026,KEVIN,196,TRES GUERRAS,
CLIESP,238340,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",13/05/2026,ENVIADO,14/05/2026,FELIX,3,LOCAL,
C09767,238341,HOTEL JM & SUITES,"SAN LUIS POTOSI, SLP",13/05/2026,ENVIADO,14/05/2026,KEVIN,2,TRES GUERRAS,
